model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
NISSAN 370Z,3.7,6,SemiAuto-7,2WD,Gasoline,FA,small car,3.0,19.0,26.0,22.0,4.0,No
NISSAN 370Z,3.7,6,SemiAuto-7,2WD,Gasoline,CA,small car,3.0,19.0,26.0,22.0,4.0,No
NISSAN 370Z Roadster,3.7,6,Man-6,2WD,Gasoline,FA,small car,3.0,17.0,24.0,20.0,4.0,No
NISSAN 370Z Roadster,3.7,6,Man-6,2WD,Gasoline,CA,small car,3.0,17.0,24.0,20.0,4.0,No
NISSAN 370Z Roadster,3.7,6,SemiAuto-7,2WD,Gasoline,FA,small car,3.0,18.0,25.0,21.0,4.0,No
NISSAN 370Z Roadster,3.7,6,SemiAuto-7,2WD,Gasoline,CA,small car,3.0,18.0,25.0,21.0,4.0,No
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,CA,midsize car,7.0,27.0,38.0,31.0,7.0,Yes
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,FA,midsize car,7.0,27.0,38.0,31.0,7.0,Yes
NISSAN Altima,3.5,6,SCV-7,2WD,Gasoline,CA,midsize car,3.0,22.0,32.0,26.0,5.0,No
NISSAN Altima,3.5,6,SCV-7,2WD,Gasoline,FA,midsize car,3.0,22.0,32.0,26.0,5.0,No
NISSAN Altima SR,2.5,4,SCV-7,2WD,Gasoline,CA,midsize car,7.0,26.0,37.0,30.0,7.0,Yes
