model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
BMW 440i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,20,29,23,5,No
BMW 440i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,20,29,23,5,No
BMW 440i Coupe,3.0,6,Man-6,2WD,Gasoline,CA,small car,3.0,19,29,23,5,No
BMW 440i Coupe,3.0,6,Man-6,2WD,Gasoline,FA,small car,3.0,19,29,23,5,No
BMW 440i Coupe,3.0,6,Man-6,4WD,Gasoline,CA,small car,3.0,19,29,23,5,No
BMW 440i Coupe,3.0,6,Man-6,4WD,Gasoline,FA,small car,3.0,19,29,23,5,No
BMW 440i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21,32,25,5,No
BMW 440i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21,32,25,5,No
BMW 440i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21,31,25,5,No
BMW 440i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21,31,25,5,No
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21,32,25,5,No
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21,32,25,5,No
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21,31,25,5,No
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21,31,25,5,No
BMW 530i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,midsize car,7.0,24,34,27,6,No
BMW 530i,2.0,4,SemiAuto-8,2WD,Gasoline,FA,midsize car,7.0,24,34,27,6,No
BMW 530i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,midsize car,7.0,23,33,27,6,No
BMW 530i,2.0,4,SemiAuto-8,4WD,Gasoline,FA,midsize car,7.0,23,33,27,6,No
BMW 540d,3.0,6,SemiAuto-8,4WD,Diesel,CA,midsize car,3.0,26,36,30,5,No
BMW 540d,3.0,6,SemiAuto-8,4WD,Diesel,FA,midsize car,3.0,26,36,30,5,No
BMW 540i,3.0,6,SemiAuto-8,2WD,Gasoline,CA,midsize car,5.0,21,30,24,5,No
BMW 540i,3.0,6,SemiAuto-8,2WD,Gasoline,FA,midsize car,5.0,21,30,24,5,No
